"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 10:11:50 GMT 2023","Wed Apr 26 10:12:09 GMT 2023","18643","Test_Cases","test_model","TestModel","","","test_model3",""
"passed","Wed Apr 26 10:11:29 GMT 2023","Wed Apr 26 10:11:43 GMT 2023","13878","Test_Cases","test_model","TestModel","","","test_model2",""
"passed","Wed Apr 26 10:12:17 GMT 2023","Wed Apr 26 10:12:27 GMT 2023","9851","Test_Cases","test_model","TestModel","","","test_model4",""
"passed","Wed Apr 26 10:12:35 GMT 2023","Wed Apr 26 10:12:42 GMT 2023","6593","Test_Cases","test_object","TestObject","","","test_object",""
"passed","Wed Apr 26 10:13:51 GMT 2023","Wed Apr 26 10:14:07 GMT 2023","15540","Test_Cases","test_object","TestObject","","","test_object4",""
"passed","Wed Apr 26 10:13:28 GMT 2023","Wed Apr 26 10:13:43 GMT 2023","14795","Test_Cases","test_object","TestObject","","","test_object3",""
"passed","Wed Apr 26 10:14:15 GMT 2023","Wed Apr 26 10:14:39 GMT 2023","23946","Test_Cases","test_object","TestObject","","","test_object5",""
"passed","Wed Apr 26 10:15:52 GMT 2023","Wed Apr 26 10:15:57 GMT 2023","5104","Test_Cases","test_platform","TestPlatform","","","test_platform",""
"passed","Wed Apr 26 10:14:47 GMT 2023","Wed Apr 26 10:15:12 GMT 2023","24979","Test_Cases","test_object","TestObject","","","test_object6",""
"passed","Wed Apr 26 10:10:56 GMT 2023","Wed Apr 26 10:11:03 GMT 2023","7302","Test_Cases","test_model","TestModel","","","test_model",""
"passed","Wed Apr 26 10:10:47 GMT 2023","Wed Apr 26 10:10:47 GMT 2023","603","Test_Cases","test_homepage","TestHomepage","","","test_homepage",""
"passed","Wed Apr 26 10:11:11 GMT 2023","Wed Apr 26 10:11:21 GMT 2023","10232","Test_Cases","test_model","TestModel","","","test_model1",""
"passed","Wed Apr 26 10:12:50 GMT 2023","Wed Apr 26 10:13:02 GMT 2023","12729","Test_Cases","test_object","TestObject","","","test_object1",""
"passed","Wed Apr 26 10:13:11 GMT 2023","Wed Apr 26 10:13:20 GMT 2023","9092","Test_Cases","test_object","TestObject","","","test_object2",""
"passed","Wed Apr 26 10:15:20 GMT 2023","Wed Apr 26 10:15:45 GMT 2023","24840","Test_Cases","test_object","TestObject","","","test_object7",""
